algoritmo,tiempo,memoria
MedicionBuscarLinkedList,0,48
MedicionBuscarArrayList,0,58
MedicionBuscarTrie,0,53
MedicionBuscarHashMap,0,82
MedicionBuscarTreeMap,0,84
MedicionPredecirLinkedList,0,48
MedicionPredecirTrie,0,53
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,11011,937264
MedicionBuscarArrayList,4764,937274
MedicionBuscarTrie,2,10450571
MedicionBuscarHashMap,1,1328896
MedicionBuscarTreeMap,5,1328898
MedicionPredecirLinkedList,64,937264
MedicionPredecirTrie,62,10450571
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,7890,937264
MedicionBuscarArrayList,1987,937274
MedicionBuscarTrie,2,10450571
MedicionBuscarHashMap,2,1328896
MedicionBuscarTreeMap,6,1328898
MedicionPredecirLinkedList,41,937264
MedicionPredecirTrie,56,10450571
